"region"	"boligtype"	"kvartal"	"Gjennomsnittlig kvadratmeterpris (kr)"	"Antall boligomsetninger"
"3002 Moss"	"Blokkleiligheter"	"2012K2"	.	.
"3002 Moss"	"Blokkleiligheter"	"2012K3"	.	.
"3002 Moss"	"Blokkleiligheter"	"2012K4"	.	.
"3002 Moss"	"Blokkleiligheter"	"2013K1"	.	.
"3002 Moss"	"Blokkleiligheter"	"2013K2"	.	.
"3002 Moss"	"Blokkleiligheter"	"2013K3"	.	.
"3002 Moss"	"Blokkleiligheter"	"2013K4"	.	.
"3002 Moss"	"Blokkleiligheter"	"2014K1"	.	.
"3002 Moss"	"Blokkleiligheter"	"2014K2"	.	.
"3002 Moss"	"Blokkleiligheter"	"2014K3"	.	.
"3002 Moss"	"Blokkleiligheter"	"2014K4"	.	.
"3002 Moss"	"Blokkleiligheter"	"2015K1"	.	.
"3002 Moss"	"Blokkleiligheter"	"2015K2"	.	.
"3002 Moss"	"Blokkleiligheter"	"2015K3"	.	.
"3002 Moss"	"Blokkleiligheter"	"2015K4"	.	.
"3002 Moss"	"Blokkleiligheter"	"2016K1"	.	.
"3002 Moss"	"Blokkleiligheter"	"2016K2"	.	.
"3002 Moss"	"Blokkleiligheter"	"2016K3"	.	.
"3002 Moss"	"Blokkleiligheter"	"2016K4"	.	.
"3002 Moss"	"Blokkleiligheter"	"2017K1"	.	.
"3002 Moss"	"Blokkleiligheter"	"2017K2"	.	.
"3002 Moss"	"Blokkleiligheter"	"2017K3"	.	.
"3002 Moss"	"Blokkleiligheter"	"2017K4"	.	.
"3002 Moss"	"Blokkleiligheter"	"2018K1"	.	.
"3002 Moss"	"Blokkleiligheter"	"2018K2"	.	.
"3002 Moss"	"Blokkleiligheter"	"2018K3"	.	.
"3002 Moss"	"Blokkleiligheter"	"2018K4"	.	.
"3002 Moss"	"Blokkleiligheter"	"2019K1"	.	.
"3002 Moss"	"Blokkleiligheter"	"2019K2"	.	.
"3002 Moss"	"Blokkleiligheter"	"2019K3"	.	.
"3002 Moss"	"Blokkleiligheter"	"2019K4"	.	.
"3002 Moss"	"Blokkleiligheter"	"2020K1"	47412	53
"3002 Moss"	"Blokkleiligheter"	"2020K2"	44095	48
"3002 Moss"	"Blokkleiligheter"	"2020K3"	48769	65
"3002 Moss"	"Blokkleiligheter"	"2020K4"	49087	65
"3002 Moss"	"Blokkleiligheter"	"2021K1"	51704	81
"3002 Moss"	"Blokkleiligheter"	"2021K2"	52487	78
"3002 Moss"	"Blokkleiligheter"	"2021K3"	50876	56
"3002 Moss"	"Blokkleiligheter"	"2021K4"	50361	71
"3002 Moss"	"Blokkleiligheter"	"2022K1"	56077	65
"3002 Moss"	"Blokkleiligheter"	"2022K2"	52999	64
"3002 Moss"	"Blokkleiligheter"	"2022K3"	55884	62
"3002 Moss"	"Blokkleiligheter"	"2022K4"	54054	45
"3002 Moss"	"Blokkleiligheter"	"2023K1"	55178	54
"3002 Moss"	"Blokkleiligheter"	"2023K2"	58114	91
"3002 Moss"	"Blokkleiligheter"	"2023K3"	57512	73
"3003 Sarpsborg"	"Eneboliger"	"2006K1"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2006K2"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2006K3"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2006K4"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2007K1"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2007K2"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2007K3"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2007K4"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2008K1"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2008K2"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2008K3"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2008K4"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2009K1"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2009K2"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2009K3"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2009K4"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2010K1"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2010K2"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2010K3"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2010K4"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2011K1"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2011K2"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2011K3"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2011K4"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2012K1"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2012K2"	.	.
"3003 Sarpsborg"	"Eneboliger"	"2012K3"	.	.
